Vv_m2,2000,1000,VIT_09s0002g01080
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_10s0116g01200,2074,1.0000,WRKY DNA-binding protein 6,WRKY6_1,VvWRKY29,vv60066WRKY,
2,VIT_18s0001g01320,2063,0.9995,Wall-associated receptor kinase 5,,,,
3,VIT_09s0018g00240,2063,0.9976,WRKY DNA-binding protein 40,WRKY40,VvWRKY28,vv60066WRKY,
4,VIT_01s0011g05580,2051,0.9966,Atypical receptor kinase MARK,,,,
5,VIT_15s0046g02190,2042,0.9942,WRKY DNA-binding protein 22,WRKY22,VvWRKY49,vv34626Plant-pathogen_interaction,vv60066WRKY
6,VIT_04s0023g02380,2043,0.9927,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
7,VIT_08s0032g01220,2032,0.9922,Calcium dependent protein kinase 1,CPK1,,vv34626Plant-pathogen_interaction,
8,VIT_07s0005g02110,2041,0.9889,Protein phosphatase 2C DBP,DBPPP2C_3,,vv60024DBP,
9,VIT_12s0057g00420,2048,0.9884,Auxin-responsive protein AIR12,AIR12,,vv30003Auxin_signaling,
10,VIT_18s0001g11680,2042,0.9860,Unknown protein,,,,
11,VIT_03s0038g02020,2030,0.9831,Amidase,E3_5_1_4,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv10360Phenylalanine_metabolism
12,VIT_11s0037g00890,2020,0.9820,Glutamine amidotransferase class-I domain-containing protein,K08681,,vv10750Vitamin_B6_metabolism,
13,VIT_06s0004g03650,2012,0.9748,Pseudo-response regulator 7 (APRR7),APRR7_4,,vv30007Cytokinin_signaling,vv34710Circadian_rhythm
14,VIT_01s0026g01430,2017,0.9744,Unknown protein,,,,
15,VIT_08s0007g00310,2007,0.9729,Protein phosphatase 2C POLTERGEIST-like 4,,,,
16,VIT_08s0040g00540,2002,0.9700,VQ motif-containing protein,,,,
17,VIT_15s0046g01830,1998,0.9676,Pentatricopeptide (PPR) repeat-containing protein,,,,
18,VIT_01s0011g00420,2007,0.9668,RPK1 (receptor-like protein kinase 1),,,,
19,VIT_15s0046g00320,1998,0.9652,Myc2 bHLH protein,MYC2_2,,vv30011Jasmonate_signaling,vv34626Plant-pathogen_interaction
20,VIT_17s0000g02260,1961,0.9561,Aldose 1-epimerase,E5_1_3_3,,vv10010Glycolysis,
21,VIT_14s0060g02320,1976,0.9555,Respiratory burst oxidase protein B (ATRBOHB),RBOHB,,vv34626Plant-pathogen_interaction,vv50105Transport_electron_carriers
22,VIT_02s0025g03660,1972,0.9531,4-coumarate-CoA ligase,E6_2_1_12,,vv10940Phenylpropanoid_biosynthesis,vv50104Group_translocators
23,VIT_10s0116g00690,1939,0.9454,No hit,,,,
24,VIT_03s0038g04100,1947,0.9438,3-hydroxy-3-methylglutaryl-coenzyme A reductase 3,E1_1_1_34,,vv10100Biosynthesis_of_steroids,vv50121Porters_cat_1_to_6
25,VIT_11s0016g01810,1953,0.9398,Unknown protein,,,,
26,VIT_14s0060g01470,1943,0.9391,Calmodulin-binding protein,K02183,,vv34020Calcium_signaling_pathway,vv34626Plant-pathogen_interaction
27,VIT_10s0003g05330,1931,0.9351,Ethylene-regulated nuclear protein ERN1,ERN1,,vv30008Ethylene_signaling,
28,VIT_18s0041g01290,1937,0.9339,Serine/threonine-protein kinase CCR4,,,,
29,VIT_04s0008g01070,1932,0.9280,Calmodulin-binding region IQD6,,,,
30,VIT_03s0097g00710,1906,0.9199,Glutamyl-tRNA reductase 1,E1_2_1_70,,vv10860Porphyrin_and_chlorophyll_metabolism,
31,VIT_12s0059g01340,1901,0.9126,Armadillo/beta-catenin repeat,,,,
32,VIT_07s0129g00210,1891,0.9118,BT4 (BTB and TAZ Domain protein 4),BTA4,,vv60060TAZ,
33,VIT_04s0023g01180,1878,0.9077,Unknown protein,,,,
34,VIT_16s0022g02080,1879,0.9064,Exostosin family protein,K02366,,vv11030Glycan_structures-biosynthesis1,
35,VIT_02s0025g01580,1866,0.8980,UDP-glucose 4-epimerase GEPI48,E5_1_3_2,,vv10052Galactose_metabolism,vv10520Nucleotide_sugars_metabolism
36,VIT_02s0025g01240,1863,0.8957,UDP-glucuronosyl/UDP-glucosyltransferase,E2_4_1_17,,vv10040Pentose_glucuronate_interconversion,vv10500Starch_and_sucrose_metabolism
37,VIT_06s0004g01360,1860,0.8929,Selenoprotein O,,,,
38,VIT_11s0052g00450,1811,0.8753,WRKY DNA-binding protein 11,WRKY11_1,VvWRKY34,vv60066WRKY,
39,VIT_18s0072g00550,1808,0.8743,Unknown protein,,,,
40,VIT_05s0020g04390,1819,0.8703,Ca2+-ATPase 13 ACA13  plasma membrane,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
41,VIT_08s0040g01420,1781,0.8621,Bromodomain associated,,,,
42,VIT_18s0001g02420,1769,0.8571,Aspartic proteinase Asp1 precursor,E3_4_23_x,,,
43,VIT_01s0011g04250,1768,0.8545,Zinc finger (B-box type),ZFBBOX_5,,vv60073Orphans_zf-b_box,
44,VIT_18s0072g00990,1772,0.8527,Leucine-rich repeat protein kinase,,,,
45,VIT_06s0061g01300,1752,0.8439,Prephenate dehydratase,E4_2_1_51,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
46,VIT_12s0059g00280,1737,0.8412,Dehydration-responsive element-binding protein 16,DREB16,,vv30008Ethylene_signaling,vv60003AP2_EREBP
47,VIT_01s0026g01890,1724,0.8357,UDP-galactose transporter 3,UTR3,,vv50122Porters_cat_7_to_17,
48,VIT_06s0004g07870,1725,0.8354,CBL-interacting protein kinase 16,,,,
49,VIT_01s0011g06140,1720,0.8350,Avr9/Cf-9 rapidly elicited protein,,,,
50,VIT_01s0011g06210,1717,0.8259,Constans interacting protein 6,CIP6,,vv30009Flower_development,
51,VIT_05s0020g04780,1699,0.8248,Basic helix-loop-helix (bHLH) family,BHLHDOM_52,,vv60011BHLH,
52,VIT_02s0025g02490,1694,0.8219,Unknown protein,,,,
53,VIT_04s0008g05760,1694,0.8184,WRKY DNA-binding protein 18,WRKY18_2,VvWRKY08,vv60066WRKY,
54,VIT_15s0046g01140,1670,0.8146,WRKY DNA-binding protein 53,WRKY53_3,VvWRKY47,vv60066WRKY,
55,VIT_05s0102g00210,1686,0.8133,Unknown protein,,,,
56,VIT_18s0001g07320,1677,0.8113,2-oxoglutarate/malate carrier protein  Mitochondrial,OXMACP,,vv50123Porters_cat_18_to_29,
57,VIT_17s0000g05530,1680,0.8092,DnaJ homolog  subfamily B  member 4,K09510,,vv50132Primary_active_transporter_cat_A5_to_A8,
58,VIT_05s0020g03240,1653,0.8028,S-receptor kinase,,,,
59,VIT_13s0019g01130,1657,0.8009,DC1 domain-containing protein,,,,
60,VIT_02s0033g01000,1647,0.8003,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
61,VIT_09s0002g00690,1649,0.7997,DnaJ homolog  subfamily B  member 6,K09512,,vv50132Primary_active_transporter_cat_A5_to_A8,
62,VIT_08s0105g00190<br>VIT_08s0105g00180,1644,0.7961,
63,VIT_05s0020g03190,1637,0.7931,Haloacid dehalogenase hydrolase,E3_1_3_18,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
64,VIT_02s0012g01960,1652,0.7931,Transcription factor jumonji (jmj),JARID1A_1,,vv60038Jumonji,
65,VIT_10s0071g00300,1642,0.7913,Unknown protein,,,,
66,VIT_15s0048g02070,1635,0.7887,BON2-associated protein (BAP2),,,,
67,VIT_18s0122g00300,1617,0.7800,Unknown protein,,,,
68,VIT_05s0020g04440,1616,0.7769,Unknown protein,,,,
69,VIT_15s0048g00200,1587,0.7764,Gag-pol polyprotein,,,,
70,VIT_14s0060g01460,1602,0.7743,Pentatricopeptide (PPR) repeat-containing protein,,,,
71,VIT_01s0011g01070,1595,0.7743,No hit,,,,
72,VIT_10s0003g03810,1611,0.7738,No hit,,,,
73,VIT_07s0129g00350,1583,0.7655,Unknown protein,,,,
74,VIT_17s0000g04840,1576,0.7603,Sterile alpha motif (SAM) domain-containing,,,,
75,VIT_07s0129g00180,1551,0.7551,Ca2+-ATPase 2 ACA2  plasma membrane,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
76,VIT_01s0010g01770,1536,0.7464,Zinc finger (CCCH-type) family protein,CCCHFAM_6,,vv60018C3H,
77,VIT_07s0005g04940,1529,0.7379,Unknown protein,,,,
78,VIT_16s0098g00420,1512,0.7294,Ser/Thr receptor-like kinase1,,,,
79,VIT_17s0000g07730,1495,0.7247,Armadillo/beta-catenin repeat / U-box domain-containing protein,,,,
80,VIT_19s0015g00130,1492,0.7243,Serine acetyltransferase 3,E2_3_1_30,,vv10272Cysteine_metabolism,vv10920Sulfur_metabolism
81,VIT_00s0181g00220,1495,0.7215,Calmodulin-binding protein,K02183,,vv34020Calcium_signaling_pathway,vv34626Plant-pathogen_interaction
82,VIT_01s0011g05490,1481,0.7210,F-box domain containing protein,,,,
83,VIT_01s0150g00330,1495,0.7208,U-box domain-containing protein,,,,
84,VIT_17s0000g03790,1500,0.7205,Unknown protein,,,,
85,VIT_07s0031g02390,1486,0.7203,Phytoalexin-deficient 4 protein (PAD4),PAD4,,vv30011Jasmonate_signaling,
86,VIT_03s0063g00460,1497,0.7194,Ethylene-responsive transcription factor ERF109,ERF109_2,VvERF117,vv30008Ethylene_signaling,vv60003AP2_EREBP
87,VIT_05s0077g02080,1480,0.7164,Branched chain alpha-keto acid dehydrogenase E2 subunit (din3),E2_3_1_168,,vv10280Valine_leucine_and_isoleucine_degradation,
88,VIT_05s0020g04100,1482,0.7153,Dymeclin,,,,
89,VIT_18s0001g11170,1479,0.7145,Myb domain protein 73,MYB73_1,MYB175,vv60044MYB,
90,VIT_18s0001g11290,1450,0.7015,Signal peptidase 1,K03100,,vv23060Protein_export,vv50132Primary_active_transporter_cat_A5_to_A8
91,VIT_11s0016g00820,1454,0.7004,Unknown,,,,
92,VIT_02s0025g01280,1430,0.6982,WRKY DNA-binding protein 53,WRKY53_2,VvWRKY05,vv60066WRKY,
