Vv_m2,2000,1000,VIT_06s0004g01510
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_04s0008g02250,2073,0.9986,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
2,VIT_08s0058g01230,2068,0.9986,Non-specific lipid-transfer protein,,,,
3,VIT_13s0067g02930,2060,0.9985,Expansin [Vitis labrusca x Vitis vinifera] EXPA8,EXPA8,,vv30003Auxin_signaling,
4,VIT_17s0000g06280,2071,0.9971,Geranylgeranyl reductase,CHLP,,vv10100Biosynthesis_of_steroids,
5,VIT_02s0025g01610,2073,0.9947,Phosphatidylinositol 4-kinase type-II,K13711,,vv10562Inositol_phosphate_metabolism,vv34070Phosphatidylinositol_signaling_system
6,VIT_15s0024g00920,2062,0.9947,NFD4 (nuclear fusion defective 4),,,,
7,VIT_10s0003g01360,2017,0.9758,Cysteine protease,E3_4_22_x,,,
8,VIT_08s0007g08960,2020,0.9749,Ca2+-transporting ATPase type 2 isoform 4,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
9,VIT_05s0051g00590,2015,0.9734,Pectate lyase,E4_2_2_2,,vv40006Cell_wall,
10,VIT_15s0024g00780,2025,0.9726,No hit,,,,
11,VIT_11s0016g04960,2017,0.9725,Aspartate-glutamate racemase,E5_1_1_13,,vv10252Alanine_and_aspartate_metabolism,
12,VIT_01s0011g05850,2010,0.9705,SEC14 cytosolic factor,SEC14,,vv50122Porters_cat_7_to_17,
13,VIT_14s0006g02990,1981,0.9654,3-ketoacyl-CoA synthase,,,,
14,VIT_10s0116g01150,1991,0.9628,Unknown,,,,
15,VIT_15s0024g00910,1974,0.9513,NFD4 (nuclear fusion defective 4),,,,
16,VIT_16s0039g00010,1957,0.9468,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
17,VIT_17s0000g08990,1950,0.9466,Alliinase,E4_4_1_4,,vv10272Cysteine_metabolism,
18,VIT_12s0059g00750,1939,0.9422,Prephenate dehydratase,E4_2_1_51,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
