Vv_m2,2000,1000,VIT_05s0020g03170
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_01s0011g04270,2072,0.9995,Receptor kinase homolog LRK10,,,,
2,VIT_02s0025g01200,2076,0.9986,Leaf senescence protein,,,,
3,VIT_06s0061g00350,2076,0.9981,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
4,VIT_08s0007g07920,2068,0.9976,Unknown protein,,,,
5,VIT_13s0158g00100,2069,0.9928,MADS-box agamous-like 15,AGL15_1,,vv60042MADS,
6,VIT_19s0090g01490,2051,0.9913,Glycerophosphoryl diester phosphodiesterase,E3_1_4_46,,vv10564Glycerophospholipid_metabolism,
7,VIT_00s0375g00040,2051,0.9903,NAC domain-containing protein 25,NAC025_3,VvNAC03,vv60046NAC,
8,VIT_00s0227g00200,2048,0.9903,formin protein AHF1,FH1,,vv44810Regulation_of_actin_cytoskeleton,
9,VIT_07s0095g00750,2053,0.9899,Auxin-independent growth promoter (axi 1),AXI1,,vv30003Auxin_signaling,
10,VIT_17s0000g05550,2048,0.9875,Proton-dependent oligopeptide transport (POT) family protein,POT,,vv50122Porters_cat_7_to_17,
11,VIT_08s0007g02470,2056,0.9870,Aspartyl protease,E3_4_23_x,,,
12,VIT_00s0207g00230,2028,0.9845,Phototropic-responsive NPH3,,,,
13,VIT_13s0067g03420,2044,0.9799,RabGAP/TBC domain-containing protein,,,,
14,VIT_00s1353g00010,1992,0.9693,BAM1 (big apical meristem 1),BAM1,,vv30009Flower_development,
15,VIT_03s0180g00090,1994,0.9666,Receptor kinase,,,,
16,VIT_18s0001g00470,2000,0.9662,Monocopper oxidase SKS5 (SKU5 Similar 5),SKS5,,vv50109Incompletely_characterized_transport_systems,
17,VIT_18s0001g04540,1970,0.9526,Unknown protein,,,,
18,VIT_09s0054g00220,1952,0.9462,Cation efflux family protein MTPc4,MTPC4,,vv50121Porters_cat_1_to_6,
19,VIT_00s0516g00030,1945,0.9428,Dehydrogenase/reductase SDR family member 4,K11147,,vv44146Peroxisome,
20,VIT_16s0022g01430,1947,0.9424,Phosphate-induced protein 1,,,,
21,VIT_09s0018g01950,1900,0.9219,Cellulose synthase CSLC05,E2_4_1_12_CSLC05,,vv40006Cell_wall,
22,VIT_11s0016g05600,1878,0.9094,Zinc finger (ubiquitin-hydrolase) domain-containing,ZFUBP_1,,vv60080Other_zf,
23,VIT_08s0007g05010,1879,0.9073,Unknown protein,,,,
24,VIT_12s0142g00340,1872,0.9061,Galacturonosyltransferase 15,E2_4_1_43,,vv40006Cell_wall,
25,VIT_09s0002g01870,1873,0.9005,Unknown protein,,,,
26,VIT_14s0060g00230,1864,0.8979,Pectinacetylesterase,PAE,,vv40006Cell_wall,
27,VIT_03s0038g02230,1854,0.8952,Subtilisin-like serine protease 2,SLP2,,vv50101Channels_and_pores,
28,VIT_04s0023g02690,1836,0.8857,Beta-galactosidase,E3_2_1_23,,vv10052Galactose_metabolism,vv10511N-Glycan_degradation
29,VIT_17s0000g04810,1831,0.8833,Auxin-independent growth promoter,,,,
30,VIT_08s0007g02800,1819,0.8783,Pro-X carboxypeptidase Lysosomal,E3_4_16_2,,,
31,VIT_14s0066g01820,1804,0.8779,SAG101 (senescence-associated gene 101),,,,
32,VIT_14s0068g01000,1806,0.8670,Unknown protein,,,,
33,VIT_04s0023g00830,1781,0.8625,Calreticulin 3 (CRT3),K10098,,,
34,VIT_02s0087g00170,1782,0.8600,Leucine-rich repeat transmembrane protein kinase,,,,
35,VIT_01s0127g00220,1751,0.8512,PMR5 (powdery mildew resistant 5),,,,
36,VIT_09s0002g00150,1765,0.8490,Strubbelig receptor family 6,,,,
37,VIT_06s0004g03320,1738,0.8437,Zinc finger (C3HC4-type ring finger),ZFC3HC4_99,,vv60078Other_zf-C3HC4,
38,VIT_04s0008g02310,1717,0.8267,ABI3-interacting protein 2  AIP2,AIP2,,vv30001ABA_signaling,
39,VIT_13s0047g01130,1705,0.8233,Zfwd2 protein (ZFWD2),ZFWD2_9,,vv60018C3H,
40,VIT_01s0026g01950,1694,0.8164,Homeobox-leucine zipper protein HB13,VVHB13_2,VvHB05,vv60034HB,
41,VIT_13s0067g00080,1671,0.8131,COP1-interacting protein 7,CIP7,,vv24120Ubiquitin_mediated_proteolysis,
42,VIT_13s0019g04620,1684,0.8127,OTU cysteine protease,,,,
43,VIT_13s0019g04370,1679,0.8119,Phosphoglucomutase/phosphomannomutase,E5_4_2_2,,vv10010Glycolysis,vv10030Pentose_phosphate
44,VIT_01s0011g02000,1678,0.8110,Serine carboxypeptidase S10,,,,
45,VIT_02s0025g00990,1677,0.8094,Multidrug resistance-associated protein 14,MRP14,,vv52010ABC_transporters,
46,VIT_08s0007g02020,1663,0.8049,Proton-dependent oligopeptide transport (POT) family protein,POT,,vv50122Porters_cat_7_to_17,
47,VIT_10s0003g02000,1656,0.8027,RKF1 (receptor-like kinase in flowers 1),,,,
48,VIT_14s0108g00150,1651,0.7995,Calmodulin-binding region IQD28,IQD28,,,
49,VIT_01s0244g00140,1660,0.7969,Aspartate kinase,E2_7_2_4,,vv10260Glycine_serine_and_threonine_metabolism,vv10300Lysine_biosynthesis
50,VIT_08s0040g00630,1647,0.7964,Hydroxyproline-rich glycoprotein,HRGP,,vv40006Cell_wall,
51,VIT_16s0100g00290,1631,0.7875,L-idonate dehydrogenase,E1_1_1_14,,vv10051Fructose_and_mannose_metabolism,
52,VIT_07s0031g02480,1621,0.7850,Beta-galactosidase,E3_2_1_23,,vv10052Galactose_metabolism,vv10511N-Glycan_degradation
53,VIT_08s0007g03710,1608,0.7779,ABC transporter G member 22,ABCG22,,vv52010ABC_transporters,
54,VIT_16s0098g00410,1587,0.7726,Receptor kinase homolog LRK10,,,,
