Vv_m2,2000,1000,VIT_14s0128g00790
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_06s0004g01580,2072,1.0000,Lipoxygenase,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
2,VIT_14s0128g00780,2062,1.0000,Lipoxygenase,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
3,VIT_16s0098g00970,2062,0.9985,Subtilisin serine protease,SBT3_5_1,,vv50101Channels_and_pores,vv60085MTERF
4,VIT_06s0004g05170,2066,0.9961,Lectin protein kinase,,,,
5,VIT_11s0016g04300,2059,0.9932,Nudix hydrolase 20  chloroplast precursor (AtNUDT20),,,,
6,VIT_18s0166g00250,2031,0.9907,No hit,,,,
7,VIT_02s0012g02340,2025,0.9854,CYP76C4,,,,
8,VIT_13s0084g00130,2018,0.9730,CXE carboxylesterase,E3_1_1_1,,,
9,VIT_17s0000g00950,1996,0.9685,Hydroxycinnamoyl-CoA quinate hydroxycinnamoyltransferase,E2_3_1_99,,vv10940Phenylpropanoid_biosynthesis,
10,VIT_05s0020g00950,2008,0.9645,Aspartyl protease,E3_4_23_40,,,
11,VIT_16s0022g02410,1988,0.9636,Oxidoreductase,,,,
12,VIT_04s0079g00790,1998,0.9615,Acyl-CoA synthetases (Acyl-activating enzyme 11),E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
13,VIT_07s0005g01470,1987,0.9571,Unknown protein,,,,
14,VIT_05s0020g03270,1971,0.9513,S-receptor kinase,,,,
15,VIT_19s0014g04190,1968,0.9503,ARK3 (Arabidopsis Receptor Kinase 3),,,,
16,VIT_16s0098g01160,1967,0.9480,Subtilisin protease,SBT3_5,,vv50101Channels_and_pores,
17,VIT_01s0010g02520,1937,0.9444,Lysine histidine transporter 1,LHT1,,vv50123Porters_cat_18_to_29,
18,VIT_06s0004g01500,1949,0.9425,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
19,VIT_08s0058g01390,1930,0.9369,WRKY DNA-binding protein 70,WRKY70_2,VvWRKY25,vv60066WRKY,
20,VIT_12s0035g00150,1902,0.9246,Leucine Rich Repeat receptor-like kinase,,,,
21,VIT_07s0031g01010<br>VIT_07s0031g01040<br>VIT_07s0031g01050,1910,0.9223,
22,VIT_03s0038g02480,1889,0.9165,SKP1,K03094,,vv24120Ubiquitin_mediated_proteolysis,vv24141Protein_processing_in_endoplasmic_reticulum
23,VIT_07s0005g04050,1876,0.9129,Leucine Rich Repeat receptor-like kinase,,,,
24,VIT_18s0041g00250,1888,0.9055,R protein L6,K13477,,vv34627R_proteins_from_Plant-pathogen_interaction,
25,VIT_13s0067g03750,1869,0.9042,Stigma/style ABC transporter WBC19,WBC19,,vv52010ABC_transporters,
26,VIT_02s0025g00510,1859,0.9024,Respiratory burst oxidase protein F (RBOHF),RBOHF,,vv30001ABA_signaling,vv34626Plant-pathogen_interaction
27,VIT_19s0014g02900,1852,0.8986,Ring finger protein 185,,,,
28,VIT_00s0269g00100,1843,0.8968,Ankyrin,K10380,,vv50108Accessory_factors_involved_in_transport,
29,VIT_00s0261g00040,1850,0.8886,Unknown protein,,,,
30,VIT_12s0034g02600,1830,0.8845,Leucine Rich Repeat receptor-like kinase,,,,
31,VIT_03s0063g00880,1807,0.8742,Calmodulin-binding protein,,,,
32,VIT_12s0028g02680,1813,0.8742,Unknown protein,,,,
33,VIT_04s0008g00320,1818,0.8732,Leucine-rich repeat family protein,,,,
34,VIT_01s0011g05360,1804,0.8707,High mobility group protein HMGI/Y-1,HMGIY_5,,vv60035HMG,
35,VIT_13s0019g04060,1785,0.8623,MLO1,K08472,,,
36,VIT_00s0246g00020,1777,0.8609,No hit,,,,
37,VIT_06s0004g08150,1768,0.8591,Trans-cinnamate 4-monooxygenase,E1_14_13_11,,vv10360Phenylalanine_metabolism,vv10940Phenylpropanoid_biosynthesis
38,VIT_19s0014g01110,1740,0.8471,Curculin (mannose-binding) lectin,,,,
39,VIT_13s0067g02360,1751,0.8426,Peroxidase  class III,E1_11_1_7,,vv10360Phenylalanine_metabolism,vv10680Methane_metabolism
40,VIT_16s0050g00110,1733,0.8417,Unknown protein,,,,
41,VIT_07s0151g01040,1737,0.8383,Ent-kaurene synthase A  chloroplast precursor,E5_5_1_13,,vv10904Diterpenoid_biosynthesis,
42,VIT_07s0031g01120,1722,0.8380,Ascorbate oxidase,E1_10_3_3,,vv10053Ascorbate_and_aldarate_metabolism,vv50109Incompletely_characterized_transport_systems
43,VIT_08s0007g06590,1739,0.8373,Lectin protein kinase,,,,
44,VIT_09s0018g00300,1726,0.8366,N-acetyltransferase hookless1 HLS1,HLS1_2,,vv30008Ethylene_signaling,vv50004Auxin_transport
45,VIT_18s0089g00650,1734,0.8325,CF4,K13470,,vv34626Plant-pathogen_interaction,
46,VIT_01s0026g01070,1717,0.8319,Unknown protein,,,,
47,VIT_17s0000g09700,1715,0.8313,Unknown protein,,,,
48,VIT_14s0068g00340,1705,0.8265,Transcription initiation factor TFIID subunit 8,TAF8,,vv23022Basal_transcription_factors,
49,VIT_13s0064g01560,1676,0.8116,Glycosyl hydrolase family 1 protein,,,,
