Vv_m2,2000,1000,VIT_06s0004g01480
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_06s0004g01470,2068,1.0000,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
2,VIT_01s0011g02330,2076,0.9990,Unknown protein,,,,
3,VIT_12s0035g00010,2061,0.9985,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
4,VIT_08s0007g01420,2078,0.9966,Glutathione S-transferase 8 GSTU8,E2_5_1_18_GSTU8,,vv10480Glutathione_metabolism,
5,VIT_19s0090g00840,2064,0.9966,WRKY DNA-binding protein 6,WRKY6_2,VvWRKY55,vv60066WRKY,
6,VIT_00s0199g00190,2063,0.9961,14-3-3 protein GF14 kappa (GRF8),,,,
7,VIT_13s0067g03750,2068,0.9957,Stigma/style ABC transporter WBC19,WBC19,,vv52010ABC_transporters,
8,VIT_11s0037g00320,2055,0.9956,Serine carboxypeptidase S10,,,,
9,VIT_16s0022g02100,2065,0.9952,Embryo-specific 3,,,,
10,VIT_04s0008g02920,2058,0.9937,Desiccation protein PCC13-62 precursor,,,,
11,VIT_06s0004g03100,2042,0.9908,MLO1,K08472,,,
12,VIT_14s0128g00680,2036,0.9845,Germin,,,,
13,VIT_06s0004g01500,2028,0.9835,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
14,VIT_14s0066g02410,2044,0.9832,Betaine-aldehyde dehydrogenase,E1_2_1_8,,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores
15,VIT_17s0000g09550,2017,0.9810,CYP71A26,,,,
16,VIT_05s0029g01450,2021,0.9806,No hit,,,,
17,VIT_00s0262g00010,2031,0.9788,Receptor kinase RK20-1,,,,
18,VIT_15s0046g02380,2028,0.9759,CYP86A8,,,,
19,VIT_09s0002g00770,2014,0.9758,2OG-Fe(II) oxygenase,,,,
20,VIT_01s0137g00050,2016,0.9753,Myb family,MYBGE_2,,vv60029G2-like,
21,VIT_08s0007g02000,2024,0.9680,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
22,VIT_12s0034g02560,2004,0.9653,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
23,VIT_02s0025g02250,1994,0.9605,Dof zinc finger protein DOF4.6,DOF4_6_2,,vv60015C2C2-DOF,
24,VIT_17s0119g00160,1951,0.9453,Trypsin and protease inhibitor Kunitz family,,,,
25,VIT_04s0023g01850,1939,0.9449,Hydrolase  alpha/beta fold,,,,
26,VIT_09s0018g01660,1941,0.9422,Biopterin transport-related protein BT1,BIOPTERIN,,vv50125Porters_cat_66_to_94,
27,VIT_18s0001g07360,1929,0.9378,ER6 protein universal stress protein (USP) family,USPER6,,vv30008Ethylene_signaling,
28,VIT_12s0034g02570,1929,0.9350,Leucine Rich Repeat receptor-like kinase,,,,
29,VIT_04s0008g02790,1926,0.9255,Short-chain dehydrogenase/reductase (SDR),,,,
30,VIT_17s0000g03940,1913,0.9237,ferulate 5-hydroxylase,K09755,,vv10940Phenylpropanoid_biosynthesis,
31,VIT_19s0014g04690,1899,0.9232,Indole-3-acetic acid-amido synthetase,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
32,VIT_02s0025g03000,1891,0.9135,NGA1 (NGATHA1),NGATHA1_1,VvRAV3,vv60001ABI3VP1,
33,VIT_13s0106g00610,1866,0.9076,Tetracycline transporter,TETRACYCTR,,vv50121Porters_cat_1_to_6,
