Vv_m2,2000,1000,VIT_07s0141g00340
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_13s0064g01380,2083,1.0000,Anthranilate phosphoribosyltransferase,E2_4_2_18,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
2,VIT_12s0035g02190,2067,1.0000,MLO-like protein 13,K08472,,,
3,VIT_16s0098g00640,2072,1.0000,Thaumatin,,,,
4,VIT_04s0079g00280,2070,1.0000,NAC domain-containing protein 28,NAC028,VvNAC64,vv60046NAC,
5,VIT_09s0002g06470,2069,1.0000,CYP81B2v1,,,,
6,VIT_01s0137g00380,2065,0.9995,Unknown protein,,,,
7,VIT_12s0028g00740,2060,0.9966,Unknown protein,,,,
8,VIT_18s0089g00710,2073,0.9957,Secologanin synthase CYP72A1,K13400,,vv10902Monoterpenoid_biosynthesis,
9,VIT_07s0141g00940,2059,0.9956,TRNA synthetase  class II (D  K and N); Nucleic acid-binding  OB-fold,E6_1_1_6,,vv10300Lysine_biosynthesis,vv20970Aminoacyl-tRNA_biosynthesis
10,VIT_09s0002g06880,2055,0.9956,Beta-1 3-glucanase,E3_2_1_6,,,
11,VIT_01s0010g00880,1994,0.9661,No hit,,,,
12,VIT_08s0007g05670,1994,0.9624,Unknown,,,,
13,VIT_03s0017g01840,1984,0.9608,Disease resistance protein RGA4,,,,
14,VIT_04s0079g00230,1979,0.9584,Sucrose synthase,E2_4_1_13,,vv10500Starch_and_sucrose_metabolism,
15,VIT_01s0026g01130,1973,0.9582,Unknown protein,,,,
16,VIT_09s0018g01210,1980,0.9551,Receptor kinase TRKe,,,,
17,VIT_00s0131g00020,1950,0.9475,Annexin ANN4,ANN4,,vv50101Channels_and_pores,
18,VIT_05s0094g00810,1951,0.9416,Ion channel DMI1  chloroplast precursor,DMI1,,vv50101Channels_and_pores,
19,VIT_14s0030g00020,1947,0.9410,Unknown,,,,
20,VIT_19s0014g00910,1944,0.9396,No hit,,,,
21,VIT_17s0119g00220,1946,0.9392,Trypsin and protease inhibitor Kunitz family,,,,
22,VIT_00s0179g00040,1928,0.9387,Ankyrin,K10380,,,
23,VIT_05s0020g02470,1934,0.9361,AWPM-19 membrane,AWPM19,,vv30001ABA_signaling,
24,VIT_10s0003g03410,1939,0.9349,No hit,,,,
25,VIT_04s0044g00290,1929,0.9301,No hit,,,,
26,VIT_12s0028g01580,1915,0.9251,Zinc finger (C3HC4-type ring finger),ZFC3HC4_235,,vv60078Other_zf-C3HC4,
27,VIT_14s0066g00130,1915,0.9247,Unknown protein,,,,
28,VIT_12s0057g01420,1901,0.9157,Exostosin,K02366,,vv11030Glycan_structures-biosynthesis1,
29,VIT_10s0003g05090,1885,0.9124,Wall-associated kinase 1 (WAK1),,,,
30,VIT_04s0023g03750,1882,0.9123,Ascorbate peroxidase,E1_11_1_11,,vv10053Ascorbate_and_aldarate_metabolism,
31,VIT_07s0141g00120,1879,0.9069,No hit,,,,
32,VIT_17s0053g00700,1867,0.9028,Sucrose synthase 2,E2_4_1_13,,vv10500Starch_and_sucrose_metabolism,
33,VIT_19s0090g01080,1871,0.9017,ERF/AP2 transcription factor sub B-1(ATERF-3),ERF3_1,VvERF062,vv30008Ethylene_signaling,vv60003AP2_EREBP
34,VIT_03s0017g01620,1846,0.8979,Disease resistance protein RGA4,,,,
