Vv_m2,2000,1000,VIT_06s0004g01470
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_06s0004g01480,2070,1.0000,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
2,VIT_06s0004g01460<br>VIT_06s0004g01450,2072,1.0000,
3,VIT_06s0004g01500,2057,1.0000,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
4,VIT_03s0063g01730,2061,0.9947,Viral-response family protein-like,,,,
5,VIT_18s0001g07360,2048,0.9918,ER6 protein universal stress protein (USP) family,USPER6,,vv30008Ethylene_signaling,
6,VIT_10s0116g00530,2054,0.9894,Thiazole biosynthetic enzyme  chloroplast (ARA6),E2_5_1_3,,vv10730Thiamine_metabolism,
7,VIT_09s0002g03000,2045,0.9841,Leucine-rich repeat protein kinase,,,,
8,VIT_04s0069g00540,2015,0.9805,Glutamate receptor protein,GLR2_7,,vv50101Channels_and_pores,
9,VIT_08s0007g07750,2011,0.9786,Polygalacturonase PG1,E3_2_1_15,,vv40006Cell_wall,
10,VIT_12s0034g02590,2038,0.9779,Leucine Rich Repeat receptor-like kinase,,,,
11,VIT_03s0038g03870,2006,0.9728,Calcium ion binding protein,,,,
12,VIT_15s0024g00440,2003,0.9695,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
13,VIT_00s0639g00010,1998,0.9694,No hit,,,,
14,VIT_01s0011g05210,1988,0.9650,Phosphoglucomutase,E5_4_2_2,,vv10010Glycolysis,vv10030Pentose_phosphate
15,VIT_19s0085g00890,1980,0.9626,Myb APL (altered phloem development),APL,,vv60029G2-like,
16,VIT_02s0025g02980,1996,0.9596,Soluble inorganic pyrophosphatase,K01507,,vv10190Oxidative_phosphorylation,vv50133Primary_active_transporter_cat_A9_to_A18
17,VIT_04s0023g01730,1971,0.9554,Unknown protein,,,,
18,VIT_18s0001g04140,1975,0.9541,Vacuolar protein sorting 9 (VPS9),VPS9A,,vv50110Protein_coat,
19,VIT_17s0000g07680,1973,0.9518,Alpha-N-acetylglucosaminidase,E3_2_1_50,,vv10511N-Glycan_degradation,
20,VIT_08s0007g00920,1962,0.9501,Tropinone reductase,E1_1_1_206,,vv10220Urea_cycle_and_metabolism_of_amino_groups,
21,VIT_11s0016g01680,1934,0.9402,No hit,,,,
22,VIT_03s0088g00950,1910,0.9276,Unknown protein,,,,
23,VIT_07s0031g02630,1903,0.9220,Aldehyde dehydrogenase,E1_2_1_3,vv10561Glycerolipid_metabolism,vv10010Glycolysis,vv10071Fatty_acid_metabolism
24,VIT_04s0008g05110,1888,0.9152,Unknown,,,,
25,VIT_14s0030g01650,1857,0.9036,Unknown protein,,,,
26,VIT_01s0026g01330,1856,0.8945,Glutathione S-transferase 29 GSTU18,E2_5_1_18_GSTU18,,vv10480Glutathione_metabolism,
27,VIT_05s0077g01660,1850,0.8890,Major allergen protein homolog,,,,
28,VIT_14s0006g02770,1838,0.8854,Proton-dependent oligopeptide transport (POT) family protein,POT,,vv50122Porters_cat_7_to_17,
29,VIT_02s0236g00110,1830,0.8811,No hit,,,,
30,VIT_09s0018g01120<br>VIT_09s0018g01020,1823,0.8794,
31,VIT_02s0033g01320,1800,0.8725,Amino acid permease,AAPREL,,vv50123Porters_cat_18_to_29,
32,VIT_06s0009g02850,1808,0.8713,Cytochrome P450  family 79  subfamily A  polypeptide 2,K12153,,vv10966Glucosinolate_biosynthesis,
33,VIT_14s0006g02530,1787,0.8645,Non-specific lipid-transfer protein 2 (LTP 2),,,,
34,VIT_02s0033g01000,1763,0.8529,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
35,VIT_13s0047g00020,1759,0.8514,ZIF1 (zinc induced facilitator 1); carbohydrate transporter,ZIF1,,vv50121Porters_cat_1_to_6,
36,VIT_19s0015g00660,1749,0.8478,E3 ubiquitin-protein ligase HUWE1,K10592,,vv24120Ubiquitin_mediated_proteolysis,
37,VIT_12s0034g02600,1746,0.8398,Leucine Rich Repeat receptor-like kinase,,,,
38,VIT_13s0019g01410,1727,0.8392,OBP3 (OBF-binding protein 3),OBP3_3,,vv30011Jasmonate_signaling,vv60015C2C2-DOF
