Vv_m2,2000,1000,VIT_01s0010g02750
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_14s0030g00410,2061,1.0000,Arabidopsis histidine phosphotransfer AHP1,AHP1,,vv30007Cytokinin_signaling,
2,VIT_13s0019g01980,2076,0.9990,Aspartic proteinase nepenthesin-2 precursor,E3_4_23_12,,,
3,VIT_03s0180g00130,2074,0.9990,D-3-phosphoglycerate dehydrogenase  chloroplast precursor,E1_1_1_95,,vv10260Glycine_serine_and_threonine_metabolism,
4,VIT_01s0011g03480,2068,0.9990,Cinnamoyl CoA reductase,E1_2_1_44,,vv10940Phenylpropanoid_biosynthesis,
5,VIT_12s0028g02000,2070,0.9976,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
6,VIT_00s0732g00010,2064,0.9909,Homeobox-leucine zipper protein 22,HAT22_4,VvHB73,vv60034HB,
7,VIT_04s0008g03820,2044,0.9870,Membrane protein,,,,
8,VIT_14s0060g00640,2030,0.9869,Glucose-6-phosphate dehydrogenase,E1_1_1_49,,vv10030Pentose_phosphate,vv10480Glutathione_metabolism
9,VIT_18s0001g00380,2024,0.9835,Alcohol dehydrogenase,E1_1_1_1,,vv10010Glycolysis,vv10071Fatty_acid_metabolism
10,VIT_04s0008g04990,2032,0.9807,Potassium channel AKT1,AKT1,,vv30001ABA_signaling,vv50101Channels_and_pores
11,VIT_13s0019g04380,2016,0.9753,Auxin response factor 10,ARF10_2,,vv30003Auxin_signaling,vv60004ARF
12,VIT_11s0016g04810,2023,0.9721,BAS1 (PHYB activation tagged suppressor 1),CYP734A1,,vv10905Brassinosteroid_biosynthesis,
13,VIT_09s0018g01190,2013,0.9697,Anthranilate N-benzoyltransferase,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
14,VIT_18s0001g12340,2008,0.9696,Unknown protein,,,,
15,VIT_03s0038g03220,2009,0.9691,Chitin elicitor-binding CEBIP LysM domain-containing,K13473,,vv34626Plant-pathogen_interaction,
16,VIT_04s0023g00130,1999,0.9690,Unknown protein,,,,
17,VIT_19s0090g00410,2005,0.9672,Calcium-dependent protein kinase 9 CPK9,CPK9,,vv34626Plant-pathogen_interaction,
18,VIT_08s0032g01040,1999,0.9638,SYNC1 protein  related,,,,
19,VIT_08s0040g02530,1983,0.9631,No hit,,,,
20,VIT_04s0008g06130,1997,0.9629,KNAT2 (knotted1-like homeobox gene 3),KNAT3_1,VvHB15,vv60034HB,
21,VIT_06s0004g07880,1976,0.9606,Allergen,,,,
22,VIT_04s0008g03050,1982,0.9593,Acetylglutamate kinase,E2_7_2_8,,vv10220Urea_cycle_and_metabolism_of_amino_groups,
23,VIT_00s0253g00140,1971,0.9536,Polyneuridine-aldehyde esterase precursor,E3_1_1_78,,vv10902Monoterpenoid_biosynthesis,
24,VIT_17s0000g05520,1957,0.9436,Calcium-dependent protein kinase 30 CPK30,CPK30,,vv34626Plant-pathogen_interaction,
25,VIT_17s0000g01490,1947,0.9433,CYP94B3,,,,
26,VIT_10s0116g00480,1908,0.9276,WNK kinase 6,,,,
27,VIT_11s0052g00630,1909,0.9245,Metallothionein,,,,
28,VIT_08s0007g03630,1915,0.9242,Calmodulin binding protein,,,,
29,VIT_12s0134g00330,1914,0.9242,Protein kinase,,,,
30,VIT_11s0016g04300,1878,0.9117,Nudix hydrolase 20  chloroplast precursor (AtNUDT20),,,,
31,VIT_01s0011g00910,1879,0.9104,Unknown protein,,,,
32,VIT_06s0004g01680,1877,0.9076,Unknown protein,,,,
33,VIT_10s0003g02840,1860,0.9069,Purine permease 10 PUP10,PUP10,,vv50122Porters_cat_7_to_17,
34,VIT_14s0083g01030,1877,0.9028,MADS-box APETALA 1,APETALA1_1,,vv30009Flower_development,vv60042MADS
35,VIT_02s0025g03420,1838,0.8879,Unknown protein,,,,
36,VIT_08s0040g00780,1847,0.8837,P-coumaroyl shikimate 3'-hydroxylase isoform 1,K09754,,vv10940Phenylpropanoid_biosynthesis,
37,VIT_08s0007g01930,1834,0.8822,Anthranilate N-benzoyltransferase,E2_3_1_144,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
38,VIT_11s0016g03010,1816,0.8794,Glutamate carboxypeptidase 2,E3_4_17_21,,,
39,VIT_11s0016g01020,1819,0.8792,flavonoid 3-monooxygenase,E1_14_13_21,,vv10941Flavonoid_biosynthesis,
40,VIT_06s0004g02570,1803,0.8787,Kiwellin Ripening-related protein grip22,,,,
41,VIT_01s0026g00260,1785,0.8665,Potassium transporter (KUP7),KUP7,,vv50125Porters_cat_66_to_94,
42,VIT_16s0050g01840,1793,0.8658,Nucleoside triphosphatase,E3_6_1_15,,vv10230Purine_metabolism,vv10730Thiamine_metabolism
43,VIT_04s0210g00170,1794,0.8654,Squamosa promoter-binding protein 12 (SPL12),SPL12_1,,vv60055SBP,
44,VIT_01s0026g02460,1793,0.8649,Zinc finger homeobox 30,ZFHB30,,vv60068Zf-HD,
45,VIT_07s0031g00420,1778,0.8573,SHN1 (SHINE 1),SHINE1_2,,vv30008Ethylene_signaling,vv60003AP2_EREBP
46,VIT_07s0031g02060,1756,0.8528,Cellulose synthase CESA2,E2_4_1_12_CESA2,,vv40006Cell_wall,
