Vv_m2,2000,1000,VIT_12s0035g00150
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_11s0037g00640,2065,1.0000,No hit,,,,
2,VIT_12s0034g02590,2057,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
3,VIT_12s0142g00760,2071,1.0000,Leucine-rich repeat protein kinase,,,,
4,VIT_12s0035g00140,2056,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
5,VIT_12s0035g00110,2068,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
6,VIT_12s0142g00780,2063,1.0000,Leucine-rich repeat transmembrane protein kinase,,,,
7,VIT_12s0034g02600,2082,0.9995,Leucine Rich Repeat receptor-like kinase,,,,
8,VIT_12s0142g00800,2068,0.9995,Leucine-rich repeat protein kinase,,,,
9,VIT_12s0034g02570,2066,0.9995,Leucine Rich Repeat receptor-like kinase,,,,
10,VIT_12s0035g00100,2060,0.9961,Receptor protein kinase,,,,
11,VIT_18s0041g00250,2056,0.9923,R protein L6,K13477,,vv34627R_proteins_from_Plant-pathogen_interaction,
12,VIT_09s0002g03080,2047,0.9894,LRR receptor-like serine/threonine-protein kinase,,,,
13,VIT_09s0054g00500,2045,0.9894,No hit,,,,
14,VIT_15s0024g00760,2032,0.9864,No hit,,,,
15,VIT_12s0034g02580,2029,0.9811,Leucine Rich Repeat receptor-like kinase,,,,
16,VIT_12s0035g00070,2024,0.9797,Leucine Rich Repeat receptor-like kinase,,,,
17,VIT_05s0020g03270,2025,0.9778,S-receptor kinase,,,,
18,VIT_16s0050g01930,2009,0.9715,EIX receptor 2,,,,
19,VIT_12s0035g00060,2003,0.9709,DNA (cytosine-5)-methyltransferase,E2_1_1_37,,vv10271Methionine_metabolism,
20,VIT_02s0033g01320,1999,0.9699,Amino acid permease,AAPREL,,vv50123Porters_cat_18_to_29,
21,VIT_09s0054g01360,2009,0.9691,Cycloartenol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
22,VIT_06s0080g01040,1996,0.9615,PR5K (PR5-like receptor kinase),,,,
23,VIT_12s0035g00050,1984,0.9612,No hit,,,,
24,VIT_11s0037g00680,1982,0.9603,Leucine Rich Repeat receptor-like kinase,,,,
25,VIT_12s0034g02560,1962,0.9557,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
26,VIT_10s0092g00650,1976,0.9555,Receptor kinase RK20-1,,,,
27,VIT_06s0009g02740,1969,0.9554,Pentatricopeptide (PPR) repeat-containing protein,,,,
28,VIT_16s0050g01860,1963,0.9525,SLAH3 (SLAC1 Homologue 3),SLAH3,,vv50122Porters_cat_7_to_17,
29,VIT_06s0004g01500,1956,0.9500,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
30,VIT_16s0050g01910,1973,0.9454,Unknown,,,,
31,VIT_14s0128g00790,1918,0.9293,Lipoxygenase (LOX1),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
32,VIT_00s0258g00080,1905,0.9284,Brassinosteroid insensitive 1-associated receptor kinase 1,BAK1,,vv30005Brassinosteroids_signaling,vv34626Plant-pathogen_interaction
33,VIT_12s0035g00010,1918,0.9248,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
34,VIT_05s0029g01540,1889,0.9237,Ankyrin repeat,K10380,,vv50108Accessory_factors_involved_in_transport,
35,VIT_19s0015g00270,1908,0.9222,No hit,,,,
36,VIT_18s0041g00220,1895,0.9172,TIR-NBS-LRR disease resistance,,,,
37,VIT_12s0035g00180,1873,0.9083,Leucine-rich repeat protein kinase,,,,
38,VIT_09s0002g07570,1876,0.9058,Leucine-rich repeat protein kinase,,,,
39,VIT_12s0035g00120,1863,0.9004,Hcr2-p6,,,,
40,VIT_04s0008g00320,1847,0.8966,Leucine-rich repeat family protein,,,,
41,VIT_06s0004g05370,1847,0.8931,Tropinone reductase,E1_1_1_206,,vv10220Urea_cycle_and_metabolism_of_amino_groups,
42,VIT_08s0058g01040,1836,0.8844,SOS2 (salt overly sensitive 2),SOS2,,vv30001ABA_signaling,
43,VIT_14s0068g01170,1837,0.8811,Pentatricopeptide repeat domain containing protein,,,,
44,VIT_08s0007g05520,1820,0.8763,Pentatricopeptide (PPR) repeat,,,,
45,VIT_13s0067g01580,1804,0.8745,Anthocyaninless2 (ANL2),ANL2_4,,vv60034HB,
46,VIT_05s0029g01180,1803,0.8689,Unknown,,,,
47,VIT_16s0050g02070,1800,0.8654,Pentatricopeptide repeat-containing protein,,,,
48,VIT_03s0038g02480,1784,0.8627,SKP1,K03094,,vv24120Ubiquitin_mediated_proteolysis,vv24141Protein_processing_in_endoplasmic_reticulum
49,VIT_00s0398g00020,1792,0.8611,S-receptor kinase KIK1 precursor,,,,
50,VIT_16s0050g00370,1763,0.8538,Receptor Like Protein 47,K13466,,vv34626Plant-pathogen_interaction,
51,VIT_16s0050g00270,1766,0.8527,Leucine-rich repeat,,,,
52,VIT_03s0038g02950,1762,0.8516,Pentatricopeptide (PPR) repeat-containing protein,,,,
53,VIT_06s0004g00460,1759,0.8510,Elongation factor P (EF-P),K02356,,,
54,VIT_16s0148g00320,1753,0.8473,Ser/Thr receptor-like kinase1,,,,
55,VIT_02s0109g00290,1744,0.8458,CYP76C6,,,,
56,VIT_11s0052g01780,1740,0.8451,1-deoxy-D-xylulose-5-phosphate synthase,E2_2_1_7,,vv10100Biosynthesis_of_steroids,
57,VIT_14s0006g02770,1724,0.8377,Proton-dependent oligopeptide transport (POT) family protein,POT,,vv50122Porters_cat_7_to_17,
58,VIT_16s0148g00220,1736,0.8358,Ser/Thr receptor-like kinase1,,,,
59,VIT_18s0041g00240,1715,0.8297,R protein L6,K13477,,vv34627R_proteins_from_Plant-pathogen_interaction,
60,VIT_14s0006g01120,1704,0.8272,Lipase GDSL,,,,
61,VIT_04s0079g00790,1691,0.8217,Acyl-CoA synthetases (Acyl-activating enzyme 11),E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
62,VIT_06s0004g01580,1692,0.8166,Lipoxygenase,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
63,VIT_09s0018g01590,1686,0.8157,Kinesin motor protein,KMOTOR,,vv44810Regulation_of_actin_cytoskeleton,
64,VIT_15s0046g00490,1676,0.8132,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
65,VIT_05s0077g01730,1675,0.8096,Unknown,,,,
