Vv_m2,2000,1000,VIT_12s0034g02570
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_12s0035g00010,2067,1.0000,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
2,VIT_12s0034g02590,2069,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
3,VIT_12s0035g00150,2083,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
4,VIT_12s0034g02560,2058,1.0000,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
5,VIT_12s0035g00100,2059,1.0000,Receptor protein kinase,,,,
6,VIT_12s0034g02600,2059,1.0000,Leucine Rich Repeat receptor-like kinase,,,,
7,VIT_12s0142g00760,2064,0.9990,Leucine-rich repeat protein kinase,,,,
8,VIT_11s0037g00640,2071,0.9976,No hit,,,,
9,VIT_05s0029g01540,2052,0.9976,Ankyrin repeat,K10380,,vv50108Accessory_factors_involved_in_transport,
10,VIT_12s0035g00140,2067,0.9938,Leucine Rich Repeat receptor-like kinase,,,,
11,VIT_01s0137g00510,2055,0.9885,CYP71B10,CYP71B10,,vv10940Phenylpropanoid_biosynthesis,
12,VIT_12s0034g02580,2042,0.9836,Leucine Rich Repeat receptor-like kinase,,,,
13,VIT_12s0142g00780,2035,0.9826,Leucine-rich repeat transmembrane protein kinase,,,,
14,VIT_16s0050g00230,1982,0.9635,Zinc knuckle,ZFC2HC,,,
15,VIT_16s0050g01980,1969,0.9582,EIX receptor 2,,,,
16,VIT_01s0010g00710,1978,0.9537,Armadillo/beta-catenin repeat protein / U-box domain-containing protein ,,,,
17,VIT_12s0035g00060,1979,0.9524,DNA (cytosine-5)-methyltransferase,E2_1_1_37,,vv10271Methionine_metabolism,
18,VIT_11s0016g04270,1960,0.9492,Hydrolase  alpha/beta fold,,,,
19,VIT_04s0008g03930,1962,0.9487,RD22,,,,
20,VIT_07s0205g00180,1968,0.9484,Basic helix-loop-helix (bHLH) family,BHLHDOM_30,,vv60011BHLH,
21,VIT_13s0067g01580,1948,0.9456,Anthocyaninless2 (ANL2),ANL2_4,,vv60034HB,
22,VIT_12s0035g00050,1951,0.9411,No hit,,,,
23,VIT_04s0008g00320,1928,0.9409,Leucine-rich repeat family protein,,,,
24,VIT_12s0035g01250,1933,0.9379,Disease resistance protein (NBS-LRR class),,,,
25,VIT_13s0156g00460,1920,0.9302,CC-NBS-LRR class,,,,
26,VIT_06s0004g01480,1911,0.9277,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
27,VIT_18s0001g01320,1914,0.9215,Wall-associated receptor kinase 5,,,,
28,VIT_17s0000g02950,1909,0.9204,Glutathione S-transferase 25 GSTU7,E2_5_1_18_GSTU7,,vv10480Glutathione_metabolism,
29,VIT_00s0218g00100,1900,0.9174,Metal transporter Nramp6,NRAMP6,,vv50124Porters_cat_30_to_64,
30,VIT_11s0037g00680,1876,0.9028,Leucine Rich Repeat receptor-like kinase,,,,
31,VIT_01s0127g00070,1884,0.9023,Nitrate transporter2.5,NRT2_5,,vv50121Porters_cat_1_to_6,
32,VIT_00s0587g00030,1856,0.8992,CBS domain-containing protein,,,,
33,VIT_12s0035g00120,1841,0.8950,Hcr2-p6,,,,
34,VIT_19s0090g00790,1839,0.8884,F-box family protein,,,,
35,VIT_17s0000g02930,1824,0.8837,Glutathione S-transferase 25 GSTU7,E2_5_1_18_GSTU7,,vv10480Glutathione_metabolism,
