Vv_m2,2000,1000,VIT_02s0033g01050
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_02s0033g01000,2074,1.0000,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
2,VIT_02s0033g01020,2069,1.0000,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
3,VIT_18s0001g04140,2093,1.0000,Vacuolar protein sorting 9 (VPS9),VPS9A,,vv50110Protein_coat,
4,VIT_00s0225g00080,2073,0.9957,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
5,VIT_04s0069g01120,2060,0.9957,Acyl-activating enzyme 7,E6_2_1_3,,vv10071Fatty_acid_metabolism,vv50104Group_translocators
6,VIT_02s0033g01030,2026,0.9816,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
7,VIT_19s0014g04930,2042,0.9803,Germacrene-D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
8,VIT_05s0020g02420,2019,0.9777,BSD domain-containing protein,BSDDOM_8,,vv60075Other_BSD,
9,VIT_09s0018g02100,2020,0.9763,Anthocyaninless2 (ANL2),ANL2_2,,vv60034HB,
10,VIT_11s0016g03880,2000,0.9699,Receptor protein kinase PERK1,,,,
11,VIT_12s0028g03960,1996,0.9689,Ankyrin repeat protein family,K10380,,vv50108Accessory_factors_involved_in_transport,
12,VIT_06s0009g02850,1997,0.9657,Cytochrome P450  family 79  subfamily A  polypeptide 2,K12153,,vv10966Glucosinolate_biosynthesis,
13,VIT_02s0033g01060,2006,0.9649,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
14,VIT_12s0134g00650,1988,0.9632,Anthocyanin 5-aromatic acyltransferase,E2_3_1_153,,vv10941Flavonoid_biosynthesis,vv10942Anthocyanin_biosynthesis
15,VIT_16s0098g01740,1996,0.9569,Unknown protein,,,,
16,VIT_16s0098g00410,1992,0.9563,Receptor kinase homolog LRK10,,,,
17,VIT_09s0002g06750,1960,0.9473,ERF/AP2 transcription factor sub B-6 SHINE,SHINE1_1,VvERF042,vv30008Ethylene_signaling,vv60003AP2_EREBP
18,VIT_18s0001g10470,1950,0.9471,Protein kinase MK6,,,,
19,VIT_02s0087g00470,1950,0.9471,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
20,VIT_04s0008g01290,1943,0.9464,CGA1 (cytokinin-responsive GATA factor 1),CGA1,,vv30007Cytokinin_signaling,vv60016C2C2-GATA
21,VIT_00s0211g00040,1959,0.9464,Nodulation receptor kinase,,,,
22,VIT_16s0039g01880,1942,0.9355,Calmodulin,K02183,,vv34020Calcium_signaling_pathway,vv34626Plant-pathogen_interaction
23,VIT_19s0014g01710<br>VIT_19s0014g01740,1939,0.9345,
24,VIT_17s0000g07790,1940,0.9336,N-hydroxythioamide S-beta-glucosyltransferase,K11820,,vv10966Glucosinolate_biosynthesis,
25,VIT_07s0005g06420,1906,0.9234,Thioredoxin family,,,,
26,VIT_15s0046g00500,1897,0.9204,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
27,VIT_02s0012g00370,1872,0.9109,No hit,,,,
28,VIT_07s0205g00180,1879,0.9108,Basic helix-loop-helix (bHLH) family,BHLHDOM_30,,vv60011BHLH,
29,VIT_09s0054g01360,1877,0.9037,Cycloartenol synthase,E5_4_99_8,,vv10100Biosynthesis_of_steroids,
30,VIT_11s0016g02920,1871,0.9034,Unknown protein,,,,
31,VIT_00s1314g00010,1870,0.9012,Basic helix-loop-helix (bHLH) family,BHLHDOM_89,,vv60011BHLH,
32,VIT_14s0060g02480,1858,0.8989,Unknown,,,,
33,VIT_10s0116g01050,1859,0.8976,Oxidosqualene Cyclase,E5_4_99_7,,vv10100Biosynthesis_of_steroids,
34,VIT_18s0117g00340,1859,0.8959,TCP family transcription factor TCP14,TCP14_2,,vv60061TCP,
35,VIT_12s0134g00660,1849,0.8941,Anthocyanidin 3-O-glucoside-6''-O-malonyltransferase,E2_3_1_171,,vv10942Anthocyanin_biosynthesis,
36,VIT_11s0016g01290,1837,0.8917,CYP72A1,K13400,,vv10902Monoterpenoid_biosynthesis,
37,VIT_08s0007g02000,1836,0.8874,Glycerol-3-phosphate acyltransferase 8,E2_3_1_15,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
38,VIT_08s0007g01510,1828,0.8839,Phosphatidic acid phosphatase / PAP2,E3_1_3_4,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
39,VIT_10s0003g05040,1819,0.8839,3-hydroxyisobutyrate dehydrogenase,E1_1_1_31,,vv10280Valine_leucine_and_isoleucine_degradation,
40,VIT_05s0029g01430,1816,0.8816,Ankyrin,K10380,,vv50108Accessory_factors_involved_in_transport,
41,VIT_02s0025g01240,1815,0.8798,UDP-glucuronosyl/UDP-glucosyltransferase,E2_4_1_17,,vv10040Pentose_glucuronate_interconversion,vv10500Starch_and_sucrose_metabolism
42,VIT_18s0001g12900,1796,0.8735,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
43,VIT_12s0142g00180,1792,0.8724,Myosin heavy chain-like protein,K10352,,vv44810Regulation_of_actin_cytoskeleton,
44,VIT_19s0014g04840,1796,0.8672,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
45,VIT_08s0105g00250,1784,0.8631,Aluminum activated malate transporter 1,ALMT1,,vv50125Porters_cat_66_to_94,
46,VIT_15s0046g00510,1791,0.8623,Wax synthase,E2_3_1_75,,vv11000Single_reactions,
47,VIT_12s0134g00620,1786,0.8616,Anthocyanidin 3-O-glucoside-6''-O-malonyltransferase,E2_3_1_171,,vv10942Anthocyanin_biosynthesis,
48,VIT_02s0012g00020,1779,0.8598,Glycine-rich protein,,,,
49,VIT_12s0034g02570,1781,0.8571,Leucine Rich Repeat receptor-like kinase,,,,
50,VIT_06s0061g00240,1764,0.8542,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
51,VIT_05s0020g03190,1773,0.8528,Haloacid dehalogenase hydrolase,E3_1_3_18,,vv10630Glyoxylate_and_dicarboxylate_metabolism,
52,VIT_06s0004g01470,1749,0.8511,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
53,VIT_11s0037g00800,1753,0.8485,Serine carboxypeptidase II,,,,
54,VIT_19s0027g00520,1747,0.8472,Peptidase  trypsin serine and cysteine proteases,,,,
55,VIT_00s0271g00030<br>VIT_00s0271g00060,1744,0.8437,
56,VIT_01s0011g00420,1745,0.8426,RPK1 (receptor-like protein kinase 1),,,,
57,VIT_19s0015g02080,1744,0.8401,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
58,VIT_04s0008g04300,1730,0.8394,DnaJ homolog  subfamily B  member 4,K09510,,vv50132Primary_active_transporter_cat_A5_to_A8,
59,VIT_06s0004g01460<br>VIT_06s0004g01450,1737,0.8379,
60,VIT_09s0002g00890,1726,0.8366,Jasmonate ZIM-domain protein 1,JAZ1_2,,vv30011Jasmonate_signaling,vv60069ZIM
61,VIT_02s0012g02820,1721,0.8294,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
62,VIT_12s0059g01830,1713,0.8275,Unknown,,,,
63,VIT_12s0134g00480,1722,0.8263,Myb domain protein 14,MYB14_5,MYB137,vv60044MYB,
64,VIT_12s0134g00490,1709,0.8256,Myb domain protein 14,MYB14_1,MYB138,vv60044MYB,
65,VIT_02s0012g01630,1703,0.8247,Transmembrane protein 41B,TMEM41B,,vv50109Incompletely_characterized_transport_systems,
66,VIT_00s0522g00010<br>VIT_00s0266g00010<br>VIT_00s0372g00070<br>VIT_00s0372g00080<br>VIT_00s0572g00010<br>VIT_00s0372g00040<br>VIT_00s0847g00020<br>VIT_00s0572g00020,1682,0.8205,
67,VIT_18s0122g01080,1677,0.8121,Calcium ion binding protein,,,,
68,VIT_07s0205g00010,1674,0.8087,Unknown,,,,
69,VIT_12s0035g00010,1666,0.8068,DNA (cytosine-5)-methyltransferase (ATHIM),E2_1_1_37,,vv10271Methionine_metabolism,
70,VIT_00s0820g00020,1651,0.8011,Anthocyanidine rhamnosyl-transferase,RHATR,,vv10942Anthocyanin_biosynthesis,
71,VIT_07s0005g02950,1641,0.7928,AN3 (ANGUSITFOLIA3),AN3_2,,vv60031GIF,
72,VIT_14s0066g02410,1629,0.7866,Betaine-aldehyde dehydrogenase,E1_2_1_8,,vv10260Glycine_serine_and_threonine_metabolism,vv50101Channels_and_pores
73,VIT_08s0040g00590,1627,0.7856,Zinc finger (C3HC4-type ring finger),ZFC3HC4_43,,vv60078Other_zf-C3HC4,
74,VIT_09s0002g02440,1607,0.7824,ABC transporter C member 12,K05672,,vv52010ABC_transporters,
75,VIT_06s0004g06330,1589,0.7710,No hit,,,,
76,VIT_19s0014g04850,1591,0.7693,Germacrene-D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
77,VIT_02s0025g01410,1586,0.7688,Acyl-CoA synthetase long-chain member 2,E6_2_1_3_LACS2,,vv10071Fatty_acid_metabolism,vv44146Peroxisome
78,VIT_15s0048g00640,1583,0.7644,L-lactate dehydrogenase,E1_1_1_27,,vv10010Glycolysis,vv10272Cysteine_metabolism
79,VIT_17s0000g10410,1588,0.7642,Serine carboxypeptidase SCPL51,,,,
80,VIT_19s0014g04900,1579,0.7610,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
81,VIT_07s0104g00800,1574,0.7608,Indole-3-acetic acid-amido synthetase GH3.6,AUXINBIOSYNTHESIS_GH3,,vv11002Auxin_biosynthesis,
82,VIT_10s0003g01830,1559,0.7492,Aquaporin NIP1;2,NIP1_2,,vv50101Channels_and_pores,
83,VIT_19s0014g04880,1551,0.7482,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
84,VIT_15s0046g03240,1532,0.7426,Unknown protein,,,,
85,VIT_08s0040g01930,1528,0.7400,Unknown protein,,,,
86,VIT_00s0160g00270,1521,0.7398,No hit,,,,
87,VIT_17s0000g03940,1511,0.7310,ferulate 5-hydroxylase,K09755,,vv10940Phenylpropanoid_biosynthesis,
88,VIT_12s0178g00160,1515,0.7301,Unknown,,,,
89,VIT_03s0038g04500,1505,0.7299,Bifunctional dihydrofolate reductase-thymidylate synthase 1,K13998,,vv10240Pyrimidine_metabolism,vv10670One_carbon_pool_by_folate
90,VIT_13s0019g01780,1515,0.7294,Scarecrow transcription factor 14 (SCL14),SCL14_7,,vv60032GRAS,
91,VIT_09s0002g03620,1501,0.7262,NADP-dependent malic enzyme,E1_1_1_39,,vv10620Pyruvate_metabolism,vv10710Carbon_fixation
92,VIT_14s0030g00520,1493,0.7234,Disease resistance protein (NBS-LRR class),,,,
93,VIT_04s0023g00880,1502,0.7218,Unknown,,,,
94,VIT_17s0000g01970,1490,0.7188,MKK9,MKK9,,vv30008Ethylene_signaling,vv34626Plant-pathogen_interaction
95,VIT_11s0016g03250,1467,0.7160,Lachrymatory factor synthase,,,,
96,VIT_10s0042g00350,1460,0.7118,No hit,,,,
97,VIT_14s0060g02620,1466,0.7089,Unknown protein,,,,
98,VIT_02s0033g01320,1458,0.7074,Amino acid permease,AAPREL,,vv50123Porters_cat_18_to_29,
99,VIT_04s0008g01260,1450,0.7018,Zinc transporter ZIP4,ZIP4,,vv50121Porters_cat_1_to_6,
100,VIT_06s0004g00950,1436,0.6941,HUB2 (histone mono-ubiquitination 2),HUB2,,vv60078Other_zf-C3HC4,
101,VIT_12s0034g00790,1428,0.6882,Kinetochore protein,KINETOCHORE,,vv44110Cell_cycle,
102,VIT_11s0016g05340,1416,0.6864,Ethylene-responsive transcription factor SHINE 3,SHINE3_2,VvERF043,vv30008Ethylene_signaling,vv60003AP2_EREBP
103,VIT_17s0000g05420,1416,0.6851,AAA-type ATPase family,,,,
