Vv_m2,2000,1000,VIT_15s0048g01500
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_07s0005g03020,2076,1.0000,Lateral organ boundaries protein 29,LBD29,,vv60007AS2,
2,VIT_15s0048g01570,2077,1.0000,CYP76C2,,,,
3,VIT_09s0002g02970,2061,1.0000,Unknown,,,,
4,VIT_18s0001g12040,2079,0.9981,Coniferyl-alcohol glucosyltransferase,E2_4_1_111,,vv10940Phenylpropanoid_biosynthesis,
5,VIT_06s0004g01500,2062,0.9976,Lipoxygenase (LOX2),E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
6,VIT_00s0724g00010,2060,0.9971,Pinene synthase,E4_2_3_14,,vv10902Monoterpenoid_biosynthesis,
7,VIT_15s0048g01600,2053,0.9971,Geraniol 10-hydroxylase,G10H,,vv10902Monoterpenoid_biosynthesis,
8,VIT_12s0028g00050,2063,0.9961,Beta-1 3 glucanase,E3_2_1_6,,,
9,VIT_07s0130g00040,2059,0.9956,Myb domain protein 4,MYB4_10,MYB3,vv60044MYB,
10,VIT_01s0011g00970,2063,0.9952,RPM1 (resistance to p. syringae pv maculicola 1),K13457,,vv34626Plant-pathogen_interaction,
11,VIT_17s0000g00040,2068,0.9942,Pentatricopeptide (PPR) repeat-containing,,,,
12,VIT_01s0011g02420,2058,0.9932,Unknown,,,,
13,VIT_05s0094g00550,2047,0.9932,Stearoyl-acyl-[acyl-carrier-protein] desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
14,VIT_12s0028g02480,2050,0.9927,Lipase GDSL,,,,
15,VIT_05s0094g00580,2044,0.9884,Stearoyl-CoA 9-desaturase,E1_14_19_1,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
16,VIT_16s0039g01410,2035,0.9883,Tocopherol O-methyltransferase  chloroplast precursor,E2_1_1_95,,vv10100Biosynthesis_of_steroids,
17,VIT_15s0048g02460,2028,0.9883,Quercetin 3-O-methyltransferase 1,E2_1_1_76,,vv10941Flavonoid_biosynthesis,
18,VIT_07s0005g03170,2036,0.9879,Undecaprenyl pyrophosphate synthetase,E2_5_1_31,,vv10900Terpenoid_biosynthesis,
19,VIT_18s0001g12900,2040,0.9822,S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase,SAMTBSCMT,,vv10360Phenylalanine_metabolism,
20,VIT_05s0062g00570,2025,0.9816,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
21,VIT_00s0266g00020<br>VIT_00s0372g00020<br>VIT_00s0271g00010<br>VIT_00s0385g00020<br>VIT_00s0522g00020<br>VIT_00s0372g00060<br>VIT_00s0372g00030<br>VIT_00s0385g00010,2004,0.9766,
22,VIT_14s0081g00050,2019,0.9763,PATHOgenesIS-related 4,,,,
23,VIT_09s0002g08510,2000,0.9728,Expansin beta 2 precursor,EXPB2,,vv30003Auxin_signaling,
24,VIT_17s0000g06500,2013,0.9720,Pentatricopeptide (PPR) repeat-containing,,,,
25,VIT_18s0041g02270,2006,0.9705,12-oxophytodienoate reductase 2,E1_3_1_42,,vv10592alpha-Linolenic_acid_metabolism,
26,VIT_14s0066g00760,2005,0.9700,Disease resistance protein (NBS-LRR class),,,,
27,VIT_18s0086g00220,1997,0.9661,Lipase GDSL,,,,
28,VIT_18s0086g00410,1982,0.9659,Auxin-binding protein ABP19,ABP19,,vv30003Auxin_signaling,
29,VIT_19s0015g00120,1981,0.9552,No hit,,,,
30,VIT_04s0079g00220,1962,0.9529,Steroid sulfotransferase,K01025,,vv10272Cysteine_metabolism,
31,VIT_07s0151g00130,1949,0.9475,Chlorophyllase 1,E3_1_1_14,,vv10860Porphyrin_and_chlorophyll_metabolism,
32,VIT_01s0011g05130,1957,0.9463,Bet v I allergen,,,,
33,VIT_13s0084g00120,1955,0.9458,No hit,,,,
34,VIT_17s0000g03940,1956,0.9449,ferulate 5-hydroxylase,K09755,,vv10940Phenylpropanoid_biosynthesis,
35,VIT_19s0015g02080,1960,0.9410,(-)-germacrene D synthase,E4_2_3_22,,vv10900Terpenoid_biosynthesis,
36,VIT_15s0048g02760,1954,0.9408,Zinc finger (DHHC type),ZFDHHC_18,,vv60079Other_zf-DHHC,
37,VIT_15s0021g00010,1949,0.9406,Eceriferum 1 (CER1 protein) Sterol desaturase,,,,
38,VIT_10s0042g00470,1936,0.9357,Carbonic anhydrase,E4_2_1_1,,vv10910Nitrogen_metabolism,vv50124Porters_cat_30_to_64
39,VIT_05s0094g01120,1931,0.9347,NADP-dependent oxidoreductase,E1_6_5_5,,,
40,VIT_05s0094g00540,1935,0.9343,Acyl-[acyl-carrier-protein] desaturase,E1_14_19_2,,vv11040Biosynthesis_of_unsaturated_fatty_acids,
41,VIT_05s0062g00340,1916,0.9265,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
42,VIT_06s0061g00250,1902,0.9171,ABC transporter G member 7,ABCG7,,vv52010ABC_transporters,
43,VIT_01s0137g00130,1890,0.9153,B-keto acyl reductase,,,,
44,VIT_12s0134g00020,1885,0.9119,Isoprene synthase,E4_2_3_27,,vv10900Terpenoid_biosynthesis,
45,VIT_14s0066g01480,1894,0.9067,Cis-zeatin O-beta-D-glucosyltransferase,E2_4_1_215,,vv10908Zeatin_biosynthesis,
46,VIT_06s0004g02390,1879,0.9055,Triacylglycerol lipase,E3_1_1_3,,vv10561Glycerolipid_metabolism,
47,VIT_15s0024g00440,1861,0.8999,R protein  PRF  disease resistance protein,K13453,,vv34627R_proteins_from_Plant-pathogen_interaction,
48,VIT_01s0011g03430,1849,0.8993,No hit,,,,
49,VIT_18s0086g00590,1859,0.8959,Auxin-binding protein ABP19,ABP19,,vv30003Auxin_signaling,
50,VIT_10s0042g00590,1851,0.8933,Leucine-rich repeat receptor-like protein kinase 1,,,,
51,VIT_02s0033g01030,1820,0.8839,Anthraniloyal-CoA: methanol anthraniloyal transferase,AMAT,,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
52,VIT_18s0122g00170,1812,0.8805,Diphenol oxidase,E1_10_3_1,,vv10350Tyrosine_metabolism,vv50109Incompletely_characterized_transport_systems
53,VIT_07s0031g01590,1812,0.8792,No hit,,,,
54,VIT_07s0005g05930<br>VIT_07s0005g05910<br>VIT_07s0005g05920,1795,0.8743,
55,VIT_09s0002g01320,1802,0.8739,Germin-like protein,,,,
56,VIT_14s0006g01680,1809,0.8726,CYP96A10,,,,
57,VIT_18s0041g01190,1800,0.8721,No hit,,,,
58,VIT_15s0024g00820,1796,0.8672,Stress-induced protein,,,,
59,VIT_07s0104g01780,1771,0.8597,Autophagy 18 ATG18a,ATG18,,vv44140Regulation_of_autophagy,
60,VIT_14s0066g01520,1774,0.8595,UDP-glucoronosyl and UDP-glucosyl transferase,,,,
