Vv_m2,2000,1000,VIT_03s0063g01730
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_04s0008g02760,2068,1.0000,Unknown protein,,,,
2,VIT_08s0040g02370,2066,0.9986,DnaJ homolog  subfamily C  member 19,K09539,,vv50132Primary_active_transporter_cat_A5_to_A8,
3,VIT_12s0059g02690,2055,0.9966,DNA-binding storekeeper protein,STOREKEEPER_8,,vv60030GeBP,
4,VIT_06s0004g01470,2056,0.9956,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
5,VIT_05s0094g00130,2064,0.9937,DNA-directed RNA polymerase II subunit H,K03016,,vv23020RNA_polymerase,
6,VIT_02s0087g00250,2054,0.9894,No hit,,,,
7,VIT_03s0038g02390,2022,0.9797,Ubiquitin-conjugating enzyme E2 D/E UBC28,K06689,,vv24120Ubiquitin_mediated_proteolysis,vv24141Protein_processing_in_endoplasmic_reticulum
8,VIT_01s0010g03850,2023,0.9782,Calmodulin-binding protein,CMTA4,,vv60020CAMTA,
9,VIT_13s0067g00470,2026,0.9769,Leucine-rich repeat family protein,,,,
10,VIT_11s0103g00380,2023,0.9759,Cd2+-exporting ATPase HMA2 (Heavy metal ATPase 2),K01532,,vv50131Primary_active_transporter_cat_A2_to_A4,
11,VIT_05s0020g02670,2025,0.9745,Ring zinc finger protein,,,,
12,VIT_14s0030g00960,2006,0.9714,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
13,VIT_18s0089g01330,1996,0.9699,Epsin N-terminal,,,,
14,VIT_09s0002g03130,2013,0.9687,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
15,VIT_05s0020g02090,1989,0.9684,Unknown,,,,
16,VIT_00s0404g00080,1971,0.9499,Vacuolar protein sorting 28,VPS28,,vv50111Tethering_factors,
17,VIT_01s0182g00130,1960,0.9492,PHO1-like protein,PHO1,,vv50125Porters_cat_66_to_94,
18,VIT_07s0005g00060,1953,0.9453,No hit,,,,
19,VIT_17s0000g06740,1953,0.9426,Zinc finger (C2H2 type) family,C2H2FAM_6,,vv60017C2H2,
20,VIT_01s0011g00840,1956,0.9395,Ankyrin,K10380,,vv50108Accessory_factors_involved_in_transport,
21,VIT_00s1231g00010,1937,0.9376,Seryl-tRNA synthetase,E6_1_1_11,,vv10260Glycine_serine_and_threonine_metabolism,vv20970Aminoacyl-tRNA_biosynthesis
22,VIT_01s0026g01680,1951,0.9375,Pectate lyase,E4_2_2_2,,vv40006Cell_wall,
23,VIT_14s0068g01830,1933,0.9356,Unknown protein,,,,
24,VIT_01s0137g00200,1906,0.9208,Unknown protein,,,,
25,VIT_04s0069g01180,1899,0.9192,NC domain-containing protein,,,,
26,VIT_14s0081g00700,1889,0.9108,Peptidyl-prolyl cis-trans isomerase A (cyclophilin A),K03767,,,
27,VIT_13s0064g01300,1864,0.9049,RAB GTPase SMG1,K07976,,,
28,VIT_16s0100g00970,1864,0.9035,No hit,,,,
29,VIT_06s0080g00680,1866,0.9023,No hit,,,,
30,VIT_09s0002g07530,1864,0.8936,Tetratricopeptide helical,,,,
31,VIT_03s0038g02910,1843,0.8934,F-box family protein,,,,
32,VIT_09s0002g01410,1838,0.8927,TT2 (transparent testa 2),TT2_2,MYBPA6,vv44110Cell_cycle,vv60044MYB
33,VIT_17s0000g08000,1847,0.8914,Ribonuclease III,E3_1_26_3,,,
34,VIT_04s0008g01290,1818,0.8830,CGA1 (cytokinin-responsive GATA factor 1),CGA1,,vv30007Cytokinin_signaling,vv60016C2C2-GATA
35,VIT_04s0008g04000,1809,0.8714,Dehydration-responsive protein (RD22),RD22,,,
36,VIT_19s0014g02130,1808,0.8713,No hit,,,,
37,VIT_10s0003g03300,1808,0.8713,Unknown protein,,,,
38,VIT_00s0199g00190,1806,0.8708,14-3-3 protein GF14 kappa (GRF8),,,,
39,VIT_11s0037g00420,1790,0.8672,RARE-cold-inducible 2A,RCI2A,,vv50109Incompletely_characterized_transport_systems,
40,VIT_14s0128g00380,1794,0.8654,Yip1 domain   member 1,YIP1,,vv50110Protein_coat,
41,VIT_12s0142g00240,1776,0.8638,PDF1 (protodermal factor1),PDF1_1,,,
42,VIT_07s0005g03720,1788,0.8638,VPS2.3 SNF7,VPS2_3,,vv50111Tethering_factors,
43,VIT_16s0022g02410,1787,0.8629,Oxidoreductase,,,,
44,VIT_13s0067g01580,1783,0.8614,Anthocyaninless2 (ANL2),ANL2_4,,vv60034HB,
45,VIT_14s0030g02170,1749,0.8470,Calcium-binding EF hand,,,,
46,VIT_14s0006g02230,1742,0.8465,Unknown protein,,,,
47,VIT_01s0011g04330,1752,0.8415,No hit,,,,
48,VIT_04s0008g01030,1734,0.8401,Unknown protein,,,,
49,VIT_00s0218g00100,1717,0.8327,Metal transporter Nramp6,NRAMP6,,vv50124Porters_cat_30_to_64,
50,VIT_06s0009g00330,1732,0.8319,No hit,,,,
51,VIT_16s0098g01530,1716,0.8278,Unknown protein,,,,
52,VIT_05s0049g00970,1714,0.8256,No hit,,,,
53,VIT_18s0001g00650,1697,0.8202,No hit,,,,
54,VIT_09s0002g03030,1690,0.8192,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
55,VIT_00s1889g00010,1680,0.8159,Ribosomal protein L27A (RPL27aC) 60S,K02900,,vv23010Ribosome,
56,VIT_08s0032g00150,1693,0.8151,F-box family protein,,,,
57,VIT_05s0077g02100,1700,0.8130,Senescence-associated protein,,,,
58,VIT_19s0085g00660,1686,0.8121,No hit,,,,
59,VIT_00s0586g00010,1671,0.8116,WD40,,,,
60,VIT_17s0000g09040,1680,0.8081,Pentatricopeptide (PPR) repeat,,,,
