Vv_m2,2000,1000,VIT_04s0069g00540
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_04s0069g00720,2078,1.0000,Glutamate receptor protein,GLR2_7,,vv50101Channels_and_pores,
2,VIT_09s0002g02990,2068,1.0000,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
3,VIT_00s0262g00010,2074,1.0000,Receptor kinase RK20-1,,,,
4,VIT_05s0062g00640,2066,1.0000,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
5,VIT_04s0069g00010,2064,1.0000,Glutamate receptor protein,GLR2_7,,vv50101Channels_and_pores,
6,VIT_00s0203g00090,2076,0.9995,Equilibrative nucleoside transporter ENT3,ENT3,,vv10908Zeatin_biosynthesis,vv50124Porters_cat_30_to_64
7,VIT_12s0028g01850,2076,0.9990,Receptor kinase TRKe,,,,
8,VIT_00s0454g00020,2058,0.9981,No hit,,,,
9,VIT_01s0127g00920,2052,0.9981,ADP-ribosylation factor A1B,ARFA1B,,vv50110Protein_coat,
10,VIT_09s0002g02900,2068,0.9966,Leucine-rich repeat protein kinase,,,,
11,VIT_09s0002g03120,2064,0.9966,FRK1 (FLG22-induced receptor-like kinase 1),FRK1,,vv34626Plant-pathogen_interaction,
12,VIT_18s0001g01320,2053,0.9952,Wall-associated receptor kinase 5,,,,
13,VIT_09s0018g00670,2065,0.9947,HcrVf1 protein,,,,
14,VIT_09s0002g07610,2056,0.9947,Leucine-rich repeat family,,,,
15,VIT_06s0061g01000,2046,0.9894,Prolylcarboxypeptidase,E3_4_16_2,,,
16,VIT_16s0050g01260,2038,0.9855,Unknown protein,,,,
17,VIT_06s0004g01470,2032,0.9826,Lipoxygenase LOX1,E1_13_11_12,,vv10592alpha-Linolenic_acid_metabolism,
18,VIT_18s0041g00030,2028,0.9826,Wall-associated receptor kinase 5,,,,
19,VIT_12s0059g00590,2024,0.9825,Allergenic protein Pt2L4,,,,
20,VIT_04s0069g01180,2010,0.9795,NC domain-containing protein,,,,
21,VIT_18s0001g11810,2005,0.9677,BEL1 homeobox 2 protein (BLH2) (SAWTOOTH 1),BLH2_2,,vv60034HB,
22,VIT_00s0398g00060,1980,0.9659,Protein kinase,,,,
