Vv_m2,2000,1000,VIT_08s0032g00790
rank,node,Fabs,Frel,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
1,VIT_13s0064g00740,2073,1.0000,Lysine decarboxylase - like protein,E4_1_1_18,,vv10300Lysine_biosynthesis,
2,VIT_05s0062g00640,2075,0.9995,UDP-glucose:flavonoid 7-O-glucosyltransferase,E2_4_1_237,,vv10941Flavonoid_biosynthesis,
3,VIT_18s0001g07360,2062,0.9995,ER6 protein universal stress protein (USP) family,USPER6,,vv30008Ethylene_signaling,
4,VIT_08s0040g00830,2074,0.9990,Proton-dependent oligopeptide transport (POT) family protein,POT,,vv50122Porters_cat_7_to_17,
5,VIT_03s0038g02290,2066,0.9990,Amino acid permease 3,AAP3,,vv50123Porters_cat_18_to_29,
6,VIT_05s0124g00230,2068,0.9976,F-box domain containing protein,,,,
7,VIT_00s0218g00100,2048,0.9956,Metal transporter Nramp6,NRAMP6,,vv50124Porters_cat_30_to_64,
8,VIT_17s0000g09700,2042,0.9956,Unknown protein,,,,
9,VIT_04s0044g00390,2043,0.9922,Nodulin MtN21 family,MTN21,,vv50122Porters_cat_7_to_17,
10,VIT_18s0001g09980,2062,0.9909,Unknown protein,,,,
11,VIT_15s0048g02830,2045,0.9879,Rac GTPase activating protein,RHOGAP,,vv50109Incompletely_characterized_transport_systems,
12,VIT_17s0000g03940,2047,0.9846,ferulate 5-hydroxylase,K09755,,vv10940Phenylpropanoid_biosynthesis,
13,VIT_16s0100g00360,2034,0.9845,Per1,,,,
14,VIT_13s0073g00140,2029,0.9840,Ovate family protein 13 OFP13,OFP13_2,,vv60086OFP,
15,VIT_15s0048g01130,2030,0.9802,Subtilase,,,,
16,VIT_17s0000g06930,2027,0.9797,Unfertilized embryo sac 10 UNE10,UNE10_3,,vv60011BHLH,
17,VIT_01s0011g02730,2014,0.9706,ABC transporter G member 3,K05682,,vv52010ABC_transporters,
18,VIT_12s0134g00090,1996,0.9675,R-linalool synthase,E4_2_3_26,,vv10900Terpenoid_biosynthesis,
19,VIT_03s0038g03600,1980,0.9547,Serine/threonine kinase,,,,
20,VIT_19s0090g00800,1977,0.9542,F-box protein,,,,
21,VIT_10s0116g01880,1977,0.9491,MATE efflux family protein,MATE,,vv50125Porters_cat_66_to_94,
22,VIT_14s0066g00820,1920,0.9302,Unknown protein,,,,
23,VIT_14s0060g01080,1912,0.9286,ferroportin,FERROPORTIN,,vv50109Incompletely_characterized_transport_systems,
24,VIT_19s0014g01350,1929,0.9274,Ribulose bisphosphate carboxylase  large chain,E4_1_1_39,,vv10710Carbon_fixation,
25,VIT_11s0016g03250,1915,0.9256,Lachrymatory factor synthase,,,,
